numero,organizacao,task_for,servidor,grupo_designado,designado_para,prioridade,produto,categoria,subcategoria,status,origem,data_abertura,aberto_por,data_encerrado,fechado_por,codigo_encerramento,chamado_externo,prb_revisado,descricao_curta,descricao,solucao_alternativa,fechamento,atualizacoes,id_departamento
PRB0071221,Locaweb,Felipe Nascimento,Revenda Linux (Plesk),Linux,,4 - Baixa,Locaweb - Revenda,Plesk 12.5 Linux,Desempenho / Instabilidade,Aberto,Bug,30/11/2025 13:45:34,Felipe Nascimento,,,,,falso,[pleskclXXXX] - Problem: Memory is less then 5% - Consumo por logs do AWStats,"Olá,

O servidor apresentava pouca memória e swap livres.
Foi identificado que o AWStats estava consumindo memória de forma excessiva (7 GB), o que acabou usando a swap e gerando o alarme.
Para normalizar o consumo, os processos do awstats.pl foram finalizados.
O AWStats estava tentando processar um arquivo de log muito grande (60 GB, distribuído em 14.867 arquivos), que também foi removido para liberar espaço em disco.
Como esse tipo de situação pode ocorrer em outros servidores, o caso foi registrado para análise e investigação.


Problem started at 10:12:42 on 2025.11.30
Problem name: Memory is less then 5%
Action: start
Host: pleskcl0182
Severity: P4 - Average
Event_ID: 351084058
Last Value: 4.15 %
Group: LINUX, LINUX/REVENDA
Document Link: 

root@pleskcl0182:~# uptime
 12:09:33 up 1 day, 22:59,  1 user,  load average: 1.91, 1.96, 2.00
root@pleskcl0182:~# free -m ; time df -h / ; df -i / ; date -u
             total       used       free     shared    buffers     cached
Mem:          7983       7862        120          0          4        105
-/+ buffers/cache:       7751        231
Swap:          459        459          0
Filesystem            Size  Used Avail Use% Mounted on
/dev/mapper/debian-root
                       49G   34G   13G  73% /

real    0m0.008s
user    0m0.001s
sys     0m0.001s
Filesystem            Inodes   IUsed   IFree IUse% Mounted on
/dev/mapper/debian-root
                     3216880  228290 2988590    8% /
Sun Nov 30 15:09:49 UTC 2025
root@pleskcl0182:~# top
top - 12:16:56 up 1 day, 23:06,  3 users,  load average: 3.51, 2.52, 2.20
Tasks: 267 total,   3 running, 260 sleeping,   0 stopped,   4 zombie
Cpu(s): 24.4%us,  7.3%sy,  0.0%ni, 58.4%id,  2.3%wa,  4.2%hi,  3.1%si,  0.4%st
Mem:   8174856k total,  8073076k used,   101780k free,     5456k buffers
Swap:   471036k total,   468828k used,     2208k free,    76764k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                                                                                         
21287 root      20   0 7356m 6.9g  936 R   83 88.5 129:31.36 awstats.pl
19056 root      20   0  502m 121m 5600 S    0  1.5   0:00.69 apache2
19134 www-data  20   0  502m 119m 2940 S    2  1.5   0:00.09 apache2
19135 www-data  20   0  502m 119m 2940 S    0  1.5   0:00.04 apache2
19136 www-data  20   0  502m 119m 2940 S    0  1.5   0:00.05 apache2
19137 www-data  20   0  502m 119m 2940 S    0  1.5   0:00.05 apache2
19138 www-data  20   0  502m 119m 2940 S    0  1.5   0:00.05 apache2
19139 www-data  20   0  502m 119m 2940 S    0  1.5   0:00.03 apache2
19140 www-data  20   0  502m 119m 2940 S    0  1.5   0:00.08 apache2
19142 www-data  20   0  502m 119m 2940 S    0  1.5   0:00.07 apache2
19144 www-data  20   0  502m 119m 2940 S    0  1.5   0:00.07 apache2                                                                                                                                                         
19124 www-data  20   0  502m 119m 2908 S    0  1.5   0:00.08 apache2
19131 www-data  20   0  502m 119m 2908 S    0  1.5   0:00.07 apache2
19132 www-data  20   0  502m 119m 2908 S    0  1.5   0:00.03 apache2
19122 www-data  20   0  502m 119m 2908 S    0  1.5   0:00.07 apache2
19128 www-data  20   0  502m 119m 2904 S    2  1.5   0:00.04 apache2
19067 www-data  20   0  502m 119m 2880 S    0  1.5   0:00.14 apache2
19068 www-data  20   0  502m 119m 2876 S    0  1.5   0:00.16 apache2
19069 www-data  20   0  502m 119m 2880 S    0  1.5   0:00.13 apache2
19070 www-data  20   0  502m 119m 2888 S    0  1.5   0:00.10 apache2
19071 www-data  20   0  502m 119m 2880 S    0  1.5   0:00.09 apache2
19074 www-data  20   0  502m 119m 2884 S    0  1.5   0:00.14 apache2
19084 www-data  20   0  502m 119m 2888 S    0  1.5   0:00.09 apache2
19085 www-data  20   0  502m 119m 2888 S    0  1.5   0:00.07 apache2
19087 www-data  20   0  502m 119m 2888 S    2  1.5   0:00.06 apache2
19088 www-data  20   0  502m 119m 2892 S    0  1.5   0:00.05 apache2
19089 www-data  20   0  502m 119m 2896 S    0  1.5   0:00.07 apache2                                                                                                                                                         
root@pleskcl0182:~# ps fax -eo ""%mem user ppid pid cmd"" | sort -nr | head -n15
88.4 root     21286 21287                                          \_ /usr/bin/perl /usr/lib/cgi-bin/awstats.pl -update -configdir=/opt/psa/etc/awstats -config=jornalsulcatarinense.com.br-http -LogFile=-
 1.5 www-data 19056 19314  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19313  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19312  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19311  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19310  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19309  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19308  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19307  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19306  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19305  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19304  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19303  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19302  \_ /usr/sbin/apache2 -k start
 1.5 www-data 19056 19301  \_ /usr/sbin/apache2 -k start
root@pleskcl0182:~# ps aux | grep apache2 | wc -l
45
root@pleskcl0182:~# ps aux | grep awstats.pl | wc -l
3
root@pleskcl0182:~# 

root@pleskcl0182:~# kill -9 21287
root@pleskcl0182:~# kill -9 21286

root@pleskcl0182:~# cat /opt/psa/etc/awstats/awstats.jornalsulcatarinense.com.br-http.conf | grep -i LogFile
# ""LogFile"" contains the web, ftp or mail server log file to analyze.
# Example: ""C:/WINNT/system32/LogFiles/W3SVC1/ex%YY-24%MM-24%DD-24.log""
LogFile=""/var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/proxy_access_20251130_log""
PurgeLogFile=0
# When PurgeLogFile is setup to 1, AWStats will clean your log file after
# This parameter is not used if PurgeLogFile=0
# Possible values: 0, 1, or tags (See LogFile parameter) for suffix
root@pleskcl0182:~# du -sh /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/
60G     /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/
root@pleskcl0182:~# ls -lh /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/ | wc -l
14867
root@pleskcl0182:~#
root@pleskcl0182:~# du -sh /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/* | sort -h | tail
713K    /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/proxy_access_20240606_log.gz
843K    /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/proxy_access_20160929_log
3.0M    /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/proxy_access_20220805_log.gz
4.9M    /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/proxy_access_20190815_log
5.0M    /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/xferlog_regular.processed
19M     /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/proxy_access_20230813_log
52M     /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/error_log.gz
90M     /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/access_log
218M    /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/error_log
56G     /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/access_log.processed
root@pleskcl0182:~#
root@pleskcl0182:~# rm -f /var/www/vhosts/jornalsulcatarinense.com.br/statistics/logs/access_log.processed
root@pleskcl0182:~#

root@pleskcl0182:~# free -m ; time df -h / ; df -i / ; date -u
             total       used       free     shared    buffers     cached
Mem:          7983       3521       4461          0         71       2027
-/+ buffers/cache:       1421       6561
Swap:          459        301        158
Filesystem            Size  Used Avail Use% Mounted on
/dev/mapper/debian-root
                       49G   13G   34G  28% /

real    0m0.004s
user    0m0.001s
sys     0m0.001s
Filesystem            Inodes   IUsed   IFree IUse% Mounted on
/dev/mapper/debian-root
                     3216880  237954 2978926    8% /
Sun Nov 30 16:18:10 UTC 2025
root@pleskcl0182:~#
",,,51,44d391f61397aa00386c36666144b043
PRB0073147,Locaweb,Charlie Amarante,SMTP Locaweb,Service Operation,,3 - Média,Locaweb - SMTP,Painel,Falha na configuração do Webhook,Aberto,,22/05/2026 15:56:27,Felipe Brasil,,,,,falso,[SMTP] - Falha Webhook,"Olá pessoal!

Problema: Cliente possui 3 contas de SMTP no seu cadastro do CAL, em uma dessas contas, ele consegue acessar o painel com o visual antigo do SMTP e nesse painel antigo, ele consegue configurar o webhook normalmente com a URL utilizada, entretanto, nas outras duas contas dele do SMTP ocorre uma falha ao tentar utilizar essa mesma URL no webhook. 

Nessas outras duas contas que o cliente tenta configurar e ocorre falha, já é exibido o novo painel no lugar do antigo, então acreditamos que tenha ligação com as mudanças visuais do SMTP que ocorreram recentemente.

Deixo em anexo algumas evidências da URL funcionando no painel do webhook antigo e apresentando erro nos novos painéis.

Usuários do SMTP em que ocorre a falha:
organizeti2
organizeti3

Usuário em que a URL funciona: 
organizeti

Ao inspecionar o elemento na página e realizar uma nova requisição com a URL nos usuários em que a falha é gerada, notamos o erro HTTP 422  sendo retornado, conforme print em anexo.

Poderiam verificar ?",,,1,c0d391f61397aa00386c36666144b041
PRB0073130,KingHost,Pedro Lucas Bica Barcellos,,KingHost - Cloud,,4 - Baixa,KingHost - VPS,Painel,Falha nas Automatizações com API,Aberto,Bug,21/05/2026 15:44:53,Pedro Lucas Bica Barcellos,,,,,falso,"Dificuldade na criação da receita n8n, devido intsabilidade do snap","Recebemos o incidente https://lwp.service-now.com/incident.do?sys_id=58baaf201b0507543295a753604bcb72 sobre dificuldade na receita do n8n na vps do cliente.
Porém o snap que é usado para configurar o certbot está instável https://snapcraft.io/store 

Poderiam verificar alguma alternativa quanto a isso para a configuração do certbot nos vps?",,,2,fd2910b197395e10be07b286f053af60
PRB0064366,Locaweb,Philip Santos,,Linux,Jairo Lenfers,4 - Baixa,Locaweb - Hospedagem Compartilhada,Linux,Configuração,Em andamento,Bug,14/03/2024 15:08:57,Philip Santos,,,,,falso,Clientes Sem Permissão nos Logs do Apache,"Foi verificado que os clientes do ambiente dinesh eventualmente não conseguem ler os logs do Apache por conta de erros de permissão.
Este PRB está sendo aberto para análise e correção definitiva do problema.",,,114,4cd391f61397aa00386c36666144b040
PRB0061638,Locaweb,Daniel Alves,GOOGLEAPPS,Squad E-mail Terceiros,,4 - Baixa,Locaweb - Google Apps,Provisionamento,Erro na desativação do produto,Aberto,Bug,09/11/2022 22:12:22,Daniel Alves,,,,,falso,[Google Workspace] - Serviço travado em deletando,"- Serviço do cliente ainda esta vinculado ao revendedor locaweb e o cliente esta pedindo remoção do vinculo, porem o serviço ainda não deletou

- No Provisioner a deleção esta no status initial e com o erro:

Error during the processing of feed item 76604. Error Message: Can not combine services in a batch

",,,6,c4d391f61397aa00386c36666144b041
PRB0066096,Locaweb,Fabiano Candiotto,Hospedagem Compatilhada,Linux,Jairo Lenfers,4 - Baixa,Locaweb - Hospedagem Compartilhada,Painel,Gerenciamento Hospedagem,Aberto,Bug,03/10/2024 19:51:22,Fabiano Candiotto,,,,,falso,A crontab do usuário não é apresentada corretamente no painel quando a linha de comando possui o carácter '&',"A visualização da crontab do usuário através do painel de hospedagem é quebrada caso houver o carácter '&' na linha de comando agendada, não apresentando a linha de comando completa e omitindo as linhas de comando subsequentes.",,,6,4cd391f61397aa00386c36666144b040
PRB0068060,Locaweb,Daniel Alves,Painel de Controle - Hospedagem S2,Squad Hospedagem/ Hospedagem Dedicada,,4 - Baixa,Locaweb - Hospedagem Compartilhada,Painel,Falha na instalação do site,Aberto,Bug,31/03/2025 21:10:28,Daniel Alves,,,,,falso,[PAINEL HOSPEDAGEM]- Domínio inserido no painel de forma duplicada,"- Estamos notando com alguma frequência instalações enviadas repetidamente conforme print no mesmo momento

- Analisando o POST de criação o painel deixou entrar todas tentativas do cliente 

cegela0187 : Mar 28 19:51:10 cegela0187 hosting-panel[93866]: method=POST path=/wizard/create_hosting format=html controller=WizardController action=ds_create_hosting status=201 duration=5423.26 view=0.46 IP=187.11.48.156
cegela0187 : Mar 28 19:51:10 cegela0187 hosting-panel[93866]: method=POST path=/wizard/create_hosting format=html controller=WizardController action=ds_create_hosting status=201 duration=5725.30 view=0.30 IP=187.11.48.156
cegela0186 : Mar 28 19:51:09 cegela0186 hosting-panel[106597]: method=POST path=/wizard/create_hosting format=html controller=WizardController action=ds_create_hosting status=201 duration=3770.26 view=0.47 IP=187.11.48.156
cegela0186 : Mar 28 19:51:13 cegela0186 hosting-panel[106592]: method=POST path=/wizard/create_hosting format=html controller=WizardController action=ds_create_hosting status=201 duration=3445.54 view=0.41 IP=187.11.48.156
cegela0189 : Mar 28 19:51:10 cegela0189 hosting-panel[96152]: method=POST path=/wizard/create_hosting format=html controller=WizardController action=ds_create_hosting status=201 duration=4239.32 view=0.40 IP=187.11.48.156
cegela0188 : Mar 28 19:51:10 cegela0188 hosting-panel[43336]: method=POST path=/wizard/create_hosting format=html controller=WizardController action=ds_create_hosting status=201 duration=7830.12 view=0.38 IP=187.11.48.156
cegela0188 : Mar 28 19:51:10 cegela0188 hosting-panel[43328]: method=POST path=/wizard/create_hosting format=html controller=WizardController action=ds_create_hosting status=201 duration=10617.14 view=0.43 IP=187.11.48.156
",,,50,c4d391f61397aa00386c36666144b041
PRB0059089,Locaweb,Daniel Alves,CAL S2,Squad Produtos Descontinuados,,3 - Média,Locaweb - Sistemas Internos,CAL,Falha na Contratação de Adicionais,Em andamento,Bug,13/08/2021 16:49:50,Daniel Alves,,,,,falso,[NORMANDIA][CAL] - Contratar adicionais/alterar plano indiponivel devido migration pendente no Normandia,"- Notamos nos logins: fabianofiut / lucasimpricard / revirtuaamor  migrations antigas num cenário onde do lado do produto foi finalizada a migration, porem os provisionings ficaram parados em 3 ou ate mesmo em 2.4

ex: 
fabianofiut
migration: 421f06943f87ea40b8d385a8f2cc1cc8
provisioning: 70006611,70006612,70006615

Serviço já ok:
https://hank.locaweb.com.br/features/1027709468
https://hank.locaweb.com.br/features/1027709476
https://hank.locaweb.com.br/features/1027761345

lucasimpricard
migration: 752747960_16037970959458559
provisioning: 70006405
Serviço ja ok:
https://hank.locaweb.com.br/features/1027589713

revirtuaamor
migration: 854a136cc2ef14716d60ecdf2db963d6
provisioning: 70004108

Serviço ja ok:
https://cloud.locaweb.com.br/admin/servers?utf8=%E2%9C%93&filter%5Bname%5D=vps25848&filter%5Bstatus%5D=&filter%5Bservice_code%5D=&commit=Filtrar
",,,218,c4d391f61397aa00386c36666144b041
PRB0070079,Locaweb,Guilherme Fonseca,Email - Locamail,Email nivel 2,Remi Santos,2 -  Alta,Locaweb - Email,Locamail,Webmail,Aberto,Bug,19/09/2025 18:37:54,Rafael Nascimento,,,,,falso,Falha na visualização da quota - lwsprdspmailbackendxxxx,"Cliente informa que ao acessar as caixas postais do domínio ethicaambiental.com.br aparece 0 ou 100% utilizado mas não aparece o valor real utilizado.

Domínio: ethicaambiental.com.br

ISR:

 Informações do domínio ethicaambiental.com.br
ethicaambiental.com.br
 Pesquisar
ID:	66715010
Domínio:	ethicaambiental.com.br
Gerente:	gerente_2609749881
Cluster:	simpsons0034
Home:	/storage/8/db/1b/ethicaambiental
Quota:	10.0 GB
Principal:	Nao
Status:	Ativo
MX Externo:	Nao
Última atual:	Set. 19, 2025, 12:10 p.m.
Total de contas:	13 / -1	Exportar Contas
CDB:	CDB
Senhas que vão expirar:	Listar
Domadics:	ethicaambiental.tecnologia.ws, ethicaambiental.com.br, ethicaambientalt1.hospedagemdesites.ws,
Dns checks:	MX ->
TXT ->
mail.ethicaambiental.com.br ->
webmail.ethicaambiental.com.br ->
pop.ethicaambiental.com.br ->
smtp.ethicaambiental.com.br ->
imap.ethicaambiental.com.br ->

No servidor ao consultar a quota apresenta falha conforme abaixo:

backend_locamail [root@lwsprdspmailbackend34c0013 ~]$ doveadm quota get -u josemauro@ethicaambientalt1
doveadm(josemauro@ethicaambientalt1): Error: Failed to get quota resource STORAGE: quota-dict: dict_lookup(priv/quota/storage) failed: redis: Communication failure (last reply: )
doveadm(josemauro@ethicaambientalt1): Error: Failed to get quota resource MESSAGE: quota-dict: dict_lookup(priv/quota/messages) failed: redis: Communication failure (last reply: )
Quota name                  Type    Value Limit                                                                                    %
josemauro@ethicaambientalt1 STORAGE error error                                                                                error
josemauro@ethicaambientalt1 MESSAGE error error                                                                                error
backend_locamail [root@lwsprdspmailbackend34c0013 ~]$ doveadm quota get -u josemauro@ethicaambientalt1
doveadm(josemauro@ethicaambientalt1): Error: last_login_dict: Failed to write value: EOF
Quota name                  Type       Value    Limit                                                                                %
josemauro@ethicaambientalt1 STORAGE 10539254 10485760                                                                              100
josemauro@ethicaambientalt1 MESSAGE    12847        -                                                                                0

backend_locamail [root@lwsprdspmailbackend34c0002 ~]$ doveadm quota get -u officecor@officecor.com.br
doveadm(officecor@officecor.com.br): Error: last_login_dict: Failed to write value: EOF
Quota name          Type       Value    Limit                                                                                    %
officecor@officecor STORAGE 14563639 10485760                                                                                  138
officecor@officecor MESSAGE    59236        -                                                                                    0
backend_locamail [root@lwsprdspmailbackend34c0002 ~]$ ^C

No entando resolveu sozinho:
==========================================
backend_locamail [root@lwsprdspmailbackend34c0013 ~]$ doveadm quota get -u josemauro@ethicaambientalt1
Quota name                  Type      Value    Limit                                                                                %
josemauro@ethicaambientalt1 STORAGE 8818953 10485760                                                                               84
josemauro@ethicaambientalt1 MESSAGE    7667        -                                                                                0

backend_locamail [root@lwsprdspmailbackend34c0002 ~]$ doveadm quota get -u officecor@officecor.com.br
Quota name          Type      Value    Limit                                                                                                   %
officecor@officecor STORAGE 3641315 10485760                                                                                                  34
officecor@officecor MESSAGE   12583        -                                                                                                   0
backend_locamail [root@lwsprdspmailbackend34c0002 ~]$




",,,172,4cd391f61397aa00386c36666144b03f
PRB0072315,Locaweb,Denise Lins,,SisCorp Financeiros-Operacionais,Randson Franca,4 - Baixa,Locaweb - Sistemas Internos,Cobrança,Ajuste de Fatura,Aguardando Validação da Resolução,Bug,12/03/2026 16:41:57,Denise Lins,,,Outro,,falso,Apos alteração de plano a fatura é gerado com o preço promocional de contratação ,"1 - Qual o problema?
Alteração de plano gera a cobrança com o valor promocional de contratação

2 - Qual o comportamento esperado?
Que após a alteração de plano cobre o valor integral.

3 - Qual a solução esperada?
Que seja corrigido todos os casos atrelados ao PRB, após change não acontecer com casos futuros e sejam ajustados os casos de antes da change também.
E que seja avaliado possíveis novos cenários e produtos que possam ter o mesmo problema, avaliando se necessário abertura de novo PRB caso seja diferente o problema raiz.

4 - Cliente de Evidência de Problema:
Segue o print em anexo 

naliplast (Cód. 1100942516)

ód. Provisioning: 73171339
Pedido: 50827350
R$ 250,80
ID1007322577

ID da requisição: fb411706-1ada-47cc-961d-f0782b1bece4

o sistema puxou o valor do site (R$70,80/ano)para atualização da fatura.

https://cal.locaweb.com.br/customers/1100942516/provisionings/0000000073171339/plan?search%5Bq%5D=naliplast&search%5Btype%5D=customer_login

5 - Qual o Impacto para a Empresa?
Aumento de contato e perda de receita
 
6 - Critério de Aceite do PRB
Correção do problema na raiz, correção dos casos atrelados a este PRB e validar se outros produtos/serviços podem ter o mesmo problema.

At.te
",,segue no comentario abaixo.,9,8cd391f61397aa00386c36666144b041
