Tipo de item,Campo personalizado (Business Unity),Campo personalizado (Business Unity),Campo personalizado (Business Unity),Campo personalizado (Business Unity),Status,Descrição,Campo personalizado (Natureza do item),Campo personalizado (Categoria de Atuação),Sprint,Sprint,Sprint,Campo personalizado (Área Atendida (Business Analytics)),Comentários,Comentários,Campo personalizado (Data de entrega (alvo)),Pai,Chave pai,Parent summary
Tarefa,Locaweb,,,,Concluído,Criação de visão hora a hora no dash de volumetria de locaweb para controldesk,Não-planejada,Desenvolvimento de Produto (70%),Sprint #02,,,,,,,,,
Tarefa,Locaweb,,,,Concluído,Extração de classificação dos contatos do time de aep no mes de março pro Eliseu,Não-planejada,Desenvolvimento de Produto (70%),Sprint #02,,,,,,,,,
Tarefa,KingHost,,,,Concluído,Ajuste de filtro de data no dash de pesquisa de satisfação da King solicitado pela Mih,Não-planejada,Desenvolvimento de Produto (70%),Sprint #02,,,Atendimento,,,,,,
Tarefa,KingHost,Locaweb,,,Concluído,Inclusão de abas separadas de Locaweb e KingHost no Dash de Contact Rate ,Não-planejada,Desenvolvimento de Produto (70%),Sprint #02,,,Atendimento,,,,,,
Bug,Locaweb,,,,[Downstream] Em andamento,Ajuste dos dados de abandono de Chat/WhatsApp da loca a partir da identificação de um bug na query.,Não-planejada,Melhorias Técnicas (20%),Sprint #02,Sprint #03,,Atendimento,"16/mar/26 10:20 AM;70121:dac7fa84-37db-4e95-83e6-9e48f9fd9cfd;Sugestão: separar as filas de de ativo em um report distinto, para não poluir as métricas do atendimento de Customer Care.",,,,,
Melhoria,Locaweb,,,,[Downstream] Validação PO,Criação de uma versão 2.0 da Gem mostrada pelo Arthur. buscando trazer por meio desta Gem versões gráficas da performance da equipe.,Planejada,Desenvolvimento de Produto (70%),Sprint #02,Sprint #03,,Atendimento,,,,,,
Subtarefa,Octadesk,,,,[Downstream] Backlog,,Planejada,,Sprint #02,Sprint #03,,,,,,198468,DAPT-112,Classificação de Persona 
Subtarefa,Octadesk,,,,[Downstream] Backlog,,Planejada,,Sprint #02,Sprint #03,,,,,,198468,DAPT-112,Classificação de Persona 
Subtarefa,Octadesk,,,,Concluído,,Planejada,Inovação / Experimentação (10%),Sprint #02,Sprint #03,,,16/mar/26 10:22 AM;70121:dac7fa84-37db-4e95-83e6-9e48f9fd9cfd;Tabela entregue para o solicitante.,,,198468,DAPT-112,Classificação de Persona 
Subtarefa,Octadesk,,,,[Downstream] Backlog,,Planejada,,Sprint #02,Sprint #03,,,,,,198468,DAPT-112,Classificação de Persona 
Tarefa,Locaweb,,,,Concluído,A equipe de produtos solicitou auxilio para realizar os disparos de cobrança durante as férias da Fernanda Jesus.  Disparos de ativos via ferramenta da octadesk.,Planejada,Desenvolvimento de Produto (70%),Sprint #02,,,Inside Sales,16/mar/26 10:24 AM;70121:dac7fa84-37db-4e95-83e6-9e48f9fd9cfd;Processo concluído.  Disparos de Comunicação via WhatsApp pela ferramenta da octadesk.,,,,,
Tarefa,Vindi,,,,Concluído,,Não-planejada,Desenvolvimento de Produto (70%),Sprint #02,,,Atendimento,,,,,,
Melhoria,KingHost,,,,Concluído,"Os dados de volumetria dos contatos da king não estavam contemplando os chamados. Ajustado e agora os dados estão de acordo com os valores do dash de KPI.



[https://app.powerbi.com/links/fzMFLXIRlW?ctid=700a4e08-ed6d-4401-835a-4e4fe805c8ca&pbi_source=linkShare|https://app.powerbi.com/links/fzMFLXIRlW?ctid=700a4e08-ed6d-4401-835a-4e4fe805c8ca&pbi_source=linkShare]",Não-planejada,Melhorias Técnicas (20%),Sprint #02,,,Atendimento,,,,,,
Tarefa,Vindi,,,,Concluído,"Criar painel com indicadores:
Tickets em aberto por departamento
Sla médio em dias por departamento
analíticos
Ticket em aberto por prazo que está em aberto
NPS por grupo",Planejada,Desenvolvimento de Produto (70%),Sprint #02,,,Atendimento,,,,,,
Tarefa,Octadesk,,,,[Downstream] Aguardando testes,"Criar no Superset um dash para ver métricas da classificação por IA dos contatos



Niveis de classificação, Motivos de contato e etc.",Planejada,Desenvolvimento de Produto (70%),Sprint #02,Sprint #03,,Data Analytics,04/mar/26 9:38 AM;712020:3cbd5c8d-0180-41d3-8529-5471b850a88b;Dashboard publicado. Link:[https://app.powerbi.com/reportEmbed?reportId=307cade1-0d2d-4834-9de9-d63ce332fe9c&autoAuth=true&ctid=700a4e08-ed6d-4401-835a-4e4fe805c8ca|https://app.powerbi.com/reportEmbed?reportId=307cade1-0d2d-4834-9de9-d63ce332fe9c&autoAuth=true&ctid=700a4e08-ed6d-4401-835a-4e4fe805c8ca|smart-link] ,,,,,
Tarefa,KingHost,,,,Concluído,"Motivação:

Preciso ter acesso ao % de retenção do BOT por setor

Dores (Problema de Negocio):

No formato atual não é possivel diagnosticar o % de retenção no bot por setor

Proposta:

incluir um filtro de SETOR no painel - https://app.powerbi.com/groups/259b0a6f-b89b-4c74-aa62-c76cc5f36092/reports/170f173f-ae3b-4511-ac71-13f711141ece/eaca10b69f2e53858a67?ctid=700a4e08-ed6d-4401-835a-4e4fe805c8ca&experience=power-bi&bookmarkGuid=2f14e8a2f622cf03f699 (https://app.powerbi.com/groups/259b0a6f-b89b-4c74-aa62-c76cc5f36092/reports/170f173f[…]805c8ca&experience=power-bi&bookmarkGuid=2f14e8a2f622cf03f699)

Dados Necessários:

Só incluir o filtro de setor

----------------------------

Solicitante: roberto.coelho@vindi.com.br",Planejada,Desenvolvimento de Produto (70%),Sprint #02,,,Atendimento,"04/mar/26 10:17 AM;712020:b721ec3a-7340-44e5-b686-08ecd9ee20ca;Incluso o filtro, contudo foi explicado que esse ajuste não resolve a dor, uma vez que atendimentos que param no autoatendimento não possuem setor, pois não foram atribuídos para nenhum grupo de atendimento, não sendo possível analisar a % de retenção por setor",,,,,
Tarefa,Vindi,,,,[Downstream] Selecionadas,Replicar a GEM criada para a Octa para as demais unidades.,Planejada,Inovação / Experimentação (10%),Sprint #02,Sprint #03,,Data Analytics,,,,,,
Tarefa,Locaweb,,,,[Downstream] Em andamento,Replicar a GEM criada para a Octa para as demais unidades.,Planejada,Inovação / Experimentação (10%),Sprint #02,Sprint #03,,Data Analytics,,,,,,
